St.no;Year;Mnth;Date;Time(NMT);TA
25110;2006;1;29;13;3.5
25110;2006;1;29;14;3.5
25110;2006;1;29;15;3.3
25110;2006;1;29;16;3.3
25110;2006;1;29;17;3.5
25110;2006;1;29;18;3.3
25110;2006;1;29;19;3.0
25110;2006;1;29;20;3.1
25110;2006;1;29;21;2.5
25110;2006;1;29;22;2.7
25110;2006;1;29;23;2.9
25110;2006;1;29;24;3.4
25110;2006;1;30;1;3.0
25110;2006;1;30;2;3.1
25110;2006;1;30;3;3.0
25110;2006;1;30;4;3.2
25110;2006;1;30;5;2.9
25110;2006;1;30;6;2.7
25110;2006;1;30;7;2.7
25110;2006;1;30;8;2.5
25110;2006;1;30;9;2.2
25110;2006;1;30;10;2.7
25110;2006;1;30;11;2.9
25110;2006;1;30;12;3.2
25110;2006;1;30;13;2.9
25110;2006;1;30;14;2.6
25110;2006;1;30;15;2.8
25110;2006;1;30;16;2.6
25110;2006;1;30;17;2.4
25110;2006;1;30;18;2.5
25110;2006;1;30;19;3.1
25110;2006;1;30;20;3.0
25110;2006;1;30;21;3.0
25110;2006;1;30;22;3.0
25110;2006;1;30;23;3.3
25110;2006;1;30;24;3.1
25110;2006;1;31;1;2.9
25110;2006;1;31;2;4.0
25110;2006;1;31;3;4.2
25110;2006;1;31;4;4.5
25110;2006;1;31;5;4.7
25110;2006;1;31;6;4.9
25110;2006;1;31;7;4.8
25110;2006;1;31;8;5.1
25110;2006;1;31;9;5.2
25110;2006;1;31;10;5.2
25110;2006;1;31;11;5.7
25110;2006;1;31;12;5.4
25110;2006;1;31;13;5.1
25110;2006;1;31;14;4.6
25110;2006;1;31;15;4.7
25110;2006;1;31;16;3.9
25110;2006;1;31;17;3.4
25110;2006;1;31;18;3.3
25110;2006;1;31;19;3.5
25110;2006;1;31;20;3.9
25110;2006;1;31;21;4.6
25110;2006;1;31;22;4.1
25110;2006;1;31;23;3.8
25110;2006;1;31;24;3.8
